کد_داخلی,کد_کالا,نام_کالا,فعال,موجودی,قیمت_خرید_تومان
1388,,رورسی گویج,بله,0,1950000
1420,,شومیز لینن دو نخ,بله,7,9800000
1126,,شومیز لینن یک و دو تک رنگ 6011,بله,4,8600000
1279,,بافت پلن ی گ ترکیب با جین,بله,1,6900000
1394,,جوراب میخ جودون,بله,7,670000
1487,,شومیز کتیبه,بله,2,9700000
1311,,کت فوتر مجلیس,بله,2,12900000
1360,,شال نخ سنگشور,بله,18,5670000
1179,,مانتو لینن نچرال یک و دو مشگ 9011,بله,1,8650000
1319,,شکت پیچازی سفید و مشگ,بله,0,5650000
1409,,شومیز لینن پنبه دانتل,بله,0,7900000
1347,,مانتو پرنده,بله,1,13600000
1041,,کت میکرو یک و دو چند رنگ,بله,0,5850000
1091,,مانتو لینن یک و دو تک رنگ 3501,بله,1,22800000
1285,,بافت مخمل آستین گیل,بله,0,6980000
1229,,شلوار نیم بگ اسییت عرب روشن,بله,4,15700000
1401,,شومیز لینن شانتون یقه ژاکارد,بله,1,7450000
1139,,کت لینن یک و دو مشگ 7111,بله,0,0
1283,,جوراب شلواری,بله,0,2700000
1154,,شلوار کرپ بازاری گرم بالا یک و دو چند رنگ 2401,بله,1,6900000
1258,,کراپ بارونب تییس آستین رگالن,بله,0,6850000
1166,,کت لینن یک و دو تک رنگ 9011,بله,2,23800000
1086,,کراپ باتیک هندی,بله,4,6700000
1191,,شال لیچینند رنگ,بله,0,3700000
1243,,کراپ کرپ,بله,3,2580000
1267,,کت پیچازی ترکیب با جین,بله,0,6850000
1303,,شال موهر چهرخونه ریز,بله,2,4580000
1225,,شلوار نیم بگ عرب ت یه,بله,5,15700000
1256,,کفتان کشم ی پشیم,بله,1,11700000
1180,,شومیز تییون نخ یک و دو تک رنگ 3111,بله,0,5900000
1430,,پیراهن نخ طرح دار,بله,0,8650000
1172,,دامن لینن یک و دو چند رنگ,بله,3,7900000
1402,,دامن لینن کرم,بله,0,8700000
1390,,جوراب مردانه نیم ساق,بله,11,850000
1263,,وست بافت پاپیونب چند رنگ,بله,0,3450000
1295,,کاله پوم دار رنگبندی,بله,1,3450000
1467,,جوراب نیم ساق زنانه,بله,29,1250000
1207,,کیف چند رنگ,بله,0,5600000
1089,,کت لینن یک و دو کرم 1501,بله,0,9800000
1227,,شلوار نیم بگ ذغایل,بله,4,15700000
1219,,کاپشن فیتیله,بله,0,9850000
1292,,گپ مجلیس گیپور,بله,0,8900000
1293,,گپ ساده,بله,5,7850000
1457,,کراپ تاپ بلند,خیر,1,4600000
1190,,مانتو خامه دوزی یک و دو تک رنگ 0111,بله,6,15800000
1382,,کت ژاکارد و سوزندوزی,بله,0,15900000
1297,,هدبند روش,بله,2,3300000
1286,,بافت قرمز کریسمیس,بله,0,7800000
1423,,شلوار لینن نچرال مام استایل,بله,1,7950000
1328,,تیشرت سنجاقک,بله,4,4890000
1470,,جوراب میخ مردانه جودون,بله,7,950000
1133,,شلوار کرپ فیونا راه راه,بله,3,6900000
1316,,شلوار مام فیت,بله,7,8700000
1460,,کراپ تاپ دوبنده,بله,11,4400000
1391,,جوراب مردانه میخ مردانه,بله,7,830000
1199,,شال لیچینند رنگ,بله,0,3900000
1137,,ژیله کرپ بازاری گرم بالا یک و دو طوش 5111,بله,1,8600000
1452,,کت جنایب یقه شکار,بله,0,13500000
1415,,کراپ تاپ بیسیک ساده,بله,0,3600000
1317,,هودی دورس سه نخ سفید و مشگ,بله,5,9850000
1121,,کت سوزندوزی یک و دو چند رنگ 1011,بله,2,169000000
1450,,شومیز کتان گرم بالا,بله,4,8900000
1443,,کت پیچازی,بله,1,12700000
1247,,کاپشن مشگ سیلیکونب,بله,0,7900000
1186,,وست سوزندوزی یک و دو تک رنگ 8011,بله,3,9900000
1419,,شومیز گره ای,بله,3,5700000
1356,,شلوار کرپ کننیو,بله,0,6750000
1188,,شومیز موسل نن,بله,8,8700000
1341,,تیشرت گلدوزی شاخه ای,بله,5,2580000
1246,,شلوار مام فیت ذغایل,بله,3,8700000
1099,,شومیز شانتون,بله,0,12900000
1462,,شلوار جین واید لگ لبه کات,بله,7,19800000
1153,,شلوار کرپ بازاری گرم بالا یک و دو مشگ 2401,بله,0,7600000
1238,,بافت ساده هفت رنگ فری سایز یقه گرد,بله,10,7800000
1479,,کراپ تاپ ساده کرپ,بله,8,4400000
1340,,تیشرت گیل,بله,7,2380000
1125,,دامن ساتن یک و دو تک رنگ 5011,بله,2,5900000
1426,,شومیز لینن لوک,بله,1,6900000
1434,,شلوار جین واید,بله,2,18900000
1239,,ی بلوز بافت پلنگ چهار رنگ فری سایز,بله,1,7650000
1245,,شلوار مام فیت عرب ت یه,بله,2,8700000
1136,,کت ژاکارد یک و دو تک رنگ 4111,بله,0,14500000
1131,,مانتو لینن یک و دو تک رنگ 9011,بله,3,23900000
1348,,کت مخمل سوزندوزی,بله,0,17300000
1242,,شومیز و شلوار لینن لوک,بله,0,15900000
1130,,مانتو لینن یک و دو تک رنگ 8011,بله,4,22800000
1465,,جوراب میخ زنانه ساده,بله,13,880000
1288,,گپ طرح لوزی,بله,2,4950000
1282,,جوراب طرح دار,بله,34,790000
1411,,شومیز لینن طرح گل,بله,1,9850000
1471,,جوراب نیم ساق ساده مردانه,بله,9,1450000
1232,,بارونب سانتانا قد ٠٩ سه رنگ,بله,1,21600000
